"Which,odd,won","Lowest,2,values"
2.2,"2.2,2.87"
1.9,"1.9,2.9"
3.75,"1.4,3.75"
1.16,"1.16,5.5"
1.25,"1.25,5"
1.9,"1.9,3.1"
2.87,"2.4,2.87"
2,"2,3"
2.2,"2.2,3"
1.57,"1.57,3.25"
1.2,"1.2,5"
3.5,"2,3"
3,"2.25,3"
2.2,"2.2,2.87"
1.5,"1.5,3.75"
3.2,"1.72,3.2"
2.87,"2.5,2.75"
4.33,"1.83,3"
1.53,"1.53,3.5"
2.75,"2.5,2.75"
1.22,"1.22,5.5"
1.8,"1.8,3.1"
2.9,"2.1,2.9"
2.2,"2.2,3"
1.16,"1.16,6.5"
1.61,"1.61,3.4"
3,"2.2,3"
3.25,"2.37,2.87"
4.5,"1.83,3.2"
2.6,"2.6,2.6"
2.9,"2.3,2.9"
1.72,"1.72,3.1"
2.3,"2.3,2.9"
2.1,"2.1,3"
2.87,"2.2,2.87"
1.4,"1.4,4"
1.44,"1.44,3.8"
1.57,"1.57,3.6"
2,"2,3"
2,"2,3"
1.61,"1.61,3.4"
3.5,"2.2,3"
3.2,"2,3.2"
2,"2,3.2"
1.61,"1.61,3.4"
2.6,"2.6,2.9"
1.72,"1.72,3.1"
6,"1.66,3.2"
2.2,"2.2,3"
1.36,"1.36,4.33"
3.5,"1.53,3.5"
1.9,"1.9,3.1"
2.5,"2.5,2.87"
1.66,"1.66,3.4"
2.2,"2.2,2.87"
2.1,"2.1,3"
2.75,"2.75,2.75"
1.2,"1.2,5.5"
3.5,"1.53,3.5"
7,"1.53,3.5"
1.16,"1.16,5.5"
2.6,"2.6,2.75"
3.2,"2.2,2.87"
1.53,"1.53,3.5"
3.2,"2.25,2.8"
1.25,"1.25,5"
2.5,"2.5,2.75"
3.2,"1.72,3.2"
3.2,"1.66,3.2"
2.1,"2.1,2.8"
1.5,"1.5,3.6"
3,"1.9,3"
1.8,"1.8,3.1"
1.5,"1.5,3.75"
1.9,"1.9,3.1"
1.4,"1.4,4"
2.87,"2.4,2.87"
3.4,"1.66,3.4"
3.4,"2.37,2.75"
2.1,"2.1,3"
3,"2.2,3"
2.75,"2.37,2.75"
1.57,"1.57,3.5"
6,"1.61,3.4"
1.4,"1.4,4"
3,"2,3"
1.57,"1.57,3.5"
3,"2,3"
5,"1.72,3.3"
2.4,"2.4,3"
2.37,"2.37,2.75"
3,"2.25,3"
3,"1.83,3"
1.36,"1.36,4"
3.5,"2,3"
1.72,"1.72,3.25"
2.6,"2.6,2.6"
1.44,"1.44,3.75"
2.8,"2.4,2.8"
3,"2,3"
2,"2,2.75"
3.1,"2.1,3.1"
2,"2,3"
3,"1.9,3"
1.25,"1.25,4.5"
2.2,"2.2,3.2"
1.36,"1.36,4.33"
3.5,"2.2,3"
1.8,"1.8,3.25"
3.2,"2.25,2.8"
2.37,"2.37,2.75"
1.57,"1.57,3.4"
3.2,"1.61,3.2"
2.8,"2.4,2.8"
1.28,"1.28,4.33"
2.37,"2.37,2.87"
1.83,"1.83,3"
1.9,"1.9,2.9"
1.9,"1.9,2.9"
2.8,"2.1,2.8"
2.87,"2.25,2.87"
1.2,"1.2,6"
3,"2.5,2.87"
3.1,"2.37,3"
3.4,"2.3,2.87"
1.14,"1.14,6.5"
1.72,"1.72,3.3"
2.75,"2.62,2.75"
3.1,"2.37,3"
3.1,"2,3.1"
5,"1.72,3"
1.2,"1.2,4.5"
2.3,"2.3,2.87"
1.8,"1.8,3"
3,"2.1,3"
3.25,"1.61,3.25"
1.9,"1.9,3"
1.66,"1.66,3.2"
2.75,"2.4,2.75"
4.33,"1.8,3"
1.28,"1.28,5"
2.1,"2.1,3"
3,"2.3,3"
2.75,"2.75,2.75"
1.16,"1.16,6"
2.1,"2.1,3"
2.6,"2.6,2.87"
3.1,"2.3,3.1"
4.33,"1.9,3.1"
5.5,"1.66,3.4"
3.2,"1.66,3.2"
2.5,"2.5,2.9"
1.83,"1.83,3"
2.3,"2.3,3"
3.1,"2,3.1"
1.2,"1.2,5.8"
4.33,"1.95,3"
1.61,"1.61,3.4"
3,"2.3,3"
3.1,"2,3.1"
2.1,"2.1,2.8"
1.72,"1.72,3.1"
1.14,"1.14,6"
1.16,"1.16,6"
3.1,"2.6,2.7"
1.9,"1.9,3.1"
3,"2,3"
2,"2,3"
1.9,"1.9,3.1"
2.4,"2.4,3"
1.66,"1.66,3.4"
3.2,"2,3.2"
2.62,"2.62,2.75"
1.72,"1.72,3.2"
4,"2.05,3"
1.57,"1.57,3.5"
1.18,"1.18,6"
4,"2,3.1"
3.5,"1.53,3.5"
1.9,"1.9,3.2"
2.7,"2.6,2.7"
3,"2.6,2.8"
2.1,"2.1,3"
1.8,"1.8,3.2"
1.2,"1.2,5.5"
1.16,"1.16,6"
3.3,"1.72,3.3"
3,"2.4,3"
4,"2,3"
3.4,"1.61,3.4"
2.1,"2.1,2.8"
3.2,"1.66,3.2"
2.9,"2.4,2.8"
2.87,"2.6,2.6"
2.87,"2.5,2.75"
1.16,"1.16,5.5"
1.72,"1.72,3.2"
1.44,"1.44,3.6"
2.37,"2.37,2.87"
1.4,"1.4,3.2"
1.36,"1.36,4.33"
3.4,"1.61,3.4"
1.83,"1.83,3.1"
1.44,"1.44,4"
1.14,"1.14,6.5"
3.4,"1.57,3.4"
2.5,"2.5,2.87"
2.75,"2.75,2.75"
1.57,"1.57,3.4"
2.75,"2.75,2.75"
3.75,"1.36,3.75"
5,"1.66,3.2"
1.44,"1.44,3.6"
1.72,"1.72,3"
3.25,"2.1,3"
1.4,"1.4,3.75"
2,"2,3"
1.61,"1.61,3.4"
2.6,"2.6,2.6"
3,"2.3,2.87"
2.1,"2.1,3.1"
3,"1.9,3"
1.8,"1.8,3.2"
1.3,"1.3,4.5"
1.33,"1.33,4.33"
1.25,"1.25,5"
3.1,"2.1,3.1"
3,"1.83,3"
2.87,"2.5,2.87"
4,"1.44,4"
2.87,"2.4,2.87"
3,"2.3,3"
3,"2.4,3"
6.5,"1.16,6.5"
3.75,"2.1,3"
3,"2.1,3"
1.16,"1.16,6"
2.2,"2.2,2.87"
1.4,"1.4,4.33"
5.5,"1.72,3.1"
3,"1.9,3"
2.5,"2.5,2.87"
3.4,"1.61,3.4"
2.6,"2.6,2.87"
3.2,"2.5,2.75"
2.87,"2.5,2.87"
3,"1.9,3"
1.66,"1.66,3.2"
1.72,"1.72,3.1"
2.1,"2.1,3"
3.2,"1.9,3.2"
3.4,"1.57,3.4"
1.22,"1.22,5.5"
2.87,"2.2,2.87"
6,"1.66,3.2"
3,"2.37,3"
1.33,"1.33,4.5"
6,"1.66,3.2"
2.87,"2.6,2.87"
4.75,"1.83,3.1"
2.5,"2.5,2.87"
2.87,"2.5,2.87"
2.1,"2.1,2.8"
2.87,"2.4,2.87"
3,"1.83,3"
1.36,"1.36,4.33"
1.16,"1.16,6.5"
2.87,"2.6,2.87"
2.1,"2.1,2.8"
2.6,"2.6,2.87"
1.2,"1.2,5.5"
2,"2,3"
2.87,"2.3,2.87"
1.53,"1.53,3.75"
3.1,"2.4,3"
5.5,"1.72,3.2"
3.6,"2.2,2.9"
3,"2.6,2.8"
2.9,"2.5,2.9"
3.2,"1.8,3.2"
1.44,"1.44,4"
1.66,"1.66,3.2"
4,"2,3"
2.75,"2.75,2.75"
2.75,"2.3,2.75"
1.66,"1.66,3.2"
1.9,"1.9,3"
1.9,"1.9,3"
2.3,"2.3,2.87"
1.83,"1.83,3"
2.3,"2.3,3"
2,"2,2.87"
1.44,"1.44,3.75"
1.5,"1.5,3.6"
3,"2.4,3"
4,"2,3"
1.5,"1.5,3.6"
4,"2,3"
1.66,"1.66,3.4"
2.3,"2.3,2.87"
2.75,"2.37,2.75"
4.5,"1.9,3"
2.4,"2.4,2.87"
3.1,"1.72,3.1"
1.9,"1.9,3"
2.87,"2.3,2.87"
1.61,"1.61,3.4"
1.33,"1.33,4.5"
4.75,"1.83,3.1"
5.5,"1.57,3.4"
1.33,"1.33,4.5"
6.5,"1.53,3.6"
4.33,"1.4,4.33"
2,"2,2.87"
3,"2.3,3"
3.4,"1.61,3.4"
3.4,"1.66,3.4"
2.25,"2.25,2.3"
2.8,"2.1,2.8"
1.83,"1.83,3.1"
1.8,"1.8,3.2"
3.2,"2.62,2.62"
2.8,"2.25,2.8"
2.4,"2.4,2.7"
3.3,"1.72,3.3"
1.25,"1.25,4.75"
1.33,"1.33,4.5"
0,"0,0"
1.33,"1.33,4.5"
3.2,"2.2,2.8"
2.4,"2.4,3"
2.87,"2,2.87"
1.9,"1.9,3.25"
0,"0,0"
1.57,"1.57,3.5"
2.25,"2.25,3.1"
3.1,"2.3,3.1"
1.9,"1.9,2.8"
5.5,"1.9,2.5"
1.28,"1.28,5"
2.1,"2.1,2.5"
1.25,"1.25,5"
1.25,"1.25,5"
3.4,"1.61,3.4"
3.4,"1.61,3.4"
3,"2.25,3"
1.9,"1.9,3.25"
2.1,"2.1,2.4"
4.5,"1.33,4.5"
2,"2,2.4"
1.44,"1.44,4"
3.2,"2.2,3.2"
5,"1.72,3.3"
1.2,"1.2,5.5"
1.2,"1.2,5.5"
3.75,"2,3.2"
1.9,"1.9,3.25"
1.66,"1.66,3.1"
1.4,"1.4,4"
2.2,"2.2,2.5"
3,"2.5,2.87"
1.12,"1.12,7"
4,"1.4,4"
1.14,"1.14,6.5"
3.1,"1.72,3.1"
2.4,"2.4,2.4"
3.4,"2.37,2.75"
1.3,"1.3,5"
1.1,"1.1,8"
1.72,"1.72,3"
2.87,"2.6,2.62"
1.44,"1.44,3.25"
5,"1.8,2.7"
1.8,"1.8,2.7"
1.61,"1.61,3.6"
1.36,"1.36,3.8"
1.18,"1.18,5"
7,"1.57,2.87"
2.25,"2.25,2.3"
3.8,"2.3,2.4"
1.8,"1.8,3.4"
2.8,"2.2,2.8"
3.5,"1.9,3.25"
2.8,"2.2,2.8"
2.75,"2.25,2.75"
3.6,"1.57,3.6"
3.6,"1.83,3.4"
3.6,"1.83,3.4"
1.83,"1.83,3.4"
3.25,"2.25,2.75"
2.5,"2.5,2.5"
3.25,"2.25,2.75"
3.5,"1.8,3.5"
2.37,"2.37,2.6"
1.61,"1.61,3.4"
1.9,"1.9,3.4"
3.6,"1.61,3.6"
2.75,"2.25,2.75"
2.8,"2.2,2.8"
3.25,"2.1,3"
2.1,"2.1,3"
4.2,"1.72,3.4"
2.1,"2.1,3"
0,"0,0"
2.62,"2.37,2.62"
1.72,"1.72,3.4"
1.6,"1.6,3.5"
2.62,"2.37,2.62"
3,"2.1,3"
3.25,"2,3.25"
1.61,"1.61,3.5"
2.62,"2.37,2.62"
2,"2,3.25"
0,"0,0"
1.83,"1.83,3.25"
3.2,"2.37,2.62"
2,"2,3.25"
3.25,"1.8,3.25"
2.1,"2.1,3"
2.7,"2.3,2.7"
3.1,"2.1,3.1"
2.75,"2.25,2.75"
1.61,"1.61,3.4"
2.5,"2.5,2.5"
3.25,"2.2,2.8"
1.5,"1.5,3.5"
2.62,"2.37,2.62"
3,"2.1,3"
4.2,"1.72,3.4"
1.9,"1.9,3.25"
0,"0,0"
1.9,"1.9,3.25"
3.25,"2.2,2.8"
2.2,"2.2,2.8"
2.8,"2.2,2.8"
1.83,"1.83,3.25"
2.62,"2.37,2.62"
3.4,"1.57,3.4"
3.2,"2.5,2.5"
2.3,"2.3,2.7"
2.4,"2.4,2.5"
2.75,"2.2,2.75"
5,"1.57,3.5"
3.2,"2.3,2.7"
1.36,"1.36,3.75"
3.4,"1.8,3.4"
2,"2,3"
3.5,"1.9,3.25"
2.25,"2.25,2.75"
3.25,"2.25,2.75"
2.7,"2.25,2.7"
2.75,"2.25,2.75"
3.25,"2.25,2.75"
2.75,"2.25,2.75"
3.25,"2.1,3"
3.25,"2.25,2.75"
1.57,"1.57,3.5"
3.25,"2,3.25"
3.6,"1.8,3.4"
2.37,"2.37,2.62"
3.25,"2,3.25"
1.8,"1.8,3.4"
1.8,"1.8,3.3"
3.25,"2.1,3"
2,"2,3.25"
2.37,"2.37,2.62"
3.25,"2.2,2.8"
1.72,"1.72,3.4"
2.75,"2.25,2.75"
1.61,"1.61,3.4"
2.8,"2.2,2.8"
3.3,"2.3,2.62"
2.5,"2.5,2.5"
1.5,"1.5,3.5"
3.5,"1.9,3.25"
5.5,"1.57,3.4"
2.62,"2.37,2.62"
2.75,"2.25,2.75"
2.1,"2.1,3"
3.25,"2.25,2.75"
3.25,"1.83,3.25"
2.3,"2.3,2.7"
2.62,"2.37,2.62"
3.2,"2.5,2.5"
3.25,"1.83,3.25"
1.83,"1.83,3.25"
1.66,"1.66,3.4"
1.8,"1.8,3.3"
1.72,"1.72,3.3"
1.66,"1.66,3.4"
3.2,"2.1,3.1"
4,"1.8,3.3"
2.37,"2.37,2.62"
2,"2,3.25"
3.4,"1.61,3.4"
2.25,"2.25,2.75"
3.25,"1.9,3.25"
2.37,"2.37,2.62"
2.87,"2.2,2.87"
2.5,"2.37,2.5"
2.2,"2.2,2.7"
1.9,"1.9,3.4"
2,"2,3.1"
2.1,"2.1,2.87"
3.4,"1.85,3.4"
3.75,"1.66,3.75"
3.75,"1.72,3.75"
2.5,"2.5,2.5"
1.75,"1.75,3.4"
2.25,"2.25,2.62"
3.8,"1.57,3.8"
2.87,"2.2,2.87"
3.4,"1.55,3.4"
2.15,"2.15,3"
3.2,"2.25,2.75"
4,"1.75,3.4"
3.4,"1.95,3.25"
2.62,"2.4,2.62"
1.65,"1.65,3.4"
3,"2.1,3"
2.3,"2.3,2.75"
1.9,"1.9,3.25"
2.62,"2.3,2.62"
1.57,"1.57,3.4"
3.4,"1.5,3.4"
1.6,"1.6,3.4"
3.25,"1.8,3.25"
3.25,"2,3.2"
1.83,"1.83,3.3"
1.95,"1.95,3.25"
2.25,"2.25,2.8"
4.75,"1.28,4.75"
3.25,"2.15,3"
2.1,"2.1,3.25"
2.1,"2.1,3.2"
2.05,"2.05,3.25"
1.55,"1.55,3.4"
3.3,"2.45,2.5"
3.25,"2.15,2.87"
2,"2,3.2"
3.2,"2.45,2.6"
2.4,"2.4,2.45"
1.53,"1.53,3.4"
1.83,"1.83,3.25"
2,"2,3.2"
3,"2.15,3"
3.25,"2.05,3.2"
3.25,"2.15,2.9"
2.2,"2.2,3.2"
2.3,"2.3,2.8"
2.7,"2.37,2.7"
1.4,"1.4,3.75"
3.75,"1.5,3.75"
2.8,"2.2,2.8"
4.33,"1.66,3.5"
3.5,"1.83,3.5"
3.6,"1.83,3.4"
2.1,"2.1,3.1"
3.2,"1.95,3.2"
4.33,"1.61,3.75"
1.72,"1.72,3.4"
3.5,"1.9,3.25"
3,"2.1,3"
3.6,"1.57,3.6"
1.8,"1.8,3.25"
3.25,"2.25,2.75"
2.25,"2.25,2.75"
4.5,"1.28,4.5"
2.8,"2.2,2.8"
2.5,"2.5,2.5"
2.5,"2.5,2.5"
1.5,"1.5,3.5"
1.8,"1.8,3.25"
3.25,"2,3.25"
1.8,"1.8,3.25"
6,"1.5,3.5"
4.5,"1.66,3.4"
2.37,"2.37,2.62"
2,"2,3.25"
2.75,"2.25,2.75"
2.37,"2.37,2.62"
4,"1.8,3.25"
3.2,"2.37,2.62"
3.4,"1.61,3.4"
1.95,"1.95,3.25"
1.83,"1.83,3.25"
3.4,"1.61,3.4"
3.25,"1.9,3.25"
2.1,"2.1,3"
2.25,"2.25,2.62"
1.5,"1.5,4"
2.15,"2.15,2.9"
2.3,"2.3,2.7"
2.7,"2.3,2.7"
2.8,"2.2,2.8"
1.6,"1.6,3.4"
2.5,"2.5,2.5"
3.25,"1.83,3.25"
3.4,"1.66,3.4"
3.2,"2.2,2.9"
2.5,"2.5,2.5"
1.8,"1.8,3.25"
3.4,"1.72,3.4"
2.3,"2.3,2.62"
3.2,"2,3.2"
2.2,"2.2,2.9"
2.3,"2.3,2.62"
2.4,"2.4,2.6"
2.4,"2.4,2.6"
3.25,"2,3.2"
2.2,"2.2,2.8"
3.4,"1.72,3.4"
2.8,"2.2,2.8"
3.4,"1.61,3.4"
2.62,"2.37,2.62"
1.33,"1.33,4.33"
2.6,"2.4,2.6"
2.7,"2.3,2.7"
3.4,"1.66,3.4"
2.37,"2.37,2.62"
2.62,"2.37,2.62"
2.25,"2.25,3.1"
2.5,"2.5,2.5"
3.75,"1.85,3.25"
4,"1.36,4"
2.5,"2.5,2.5"
4.5,"1.66,3.4"
2.2,"2.2,2.87"
3.25,"2.1,3"
2,"2,3.1"
3.8,"1.75,3.4"
1.75,"1.75,3.4"
2.4,"2.4,2.6"
3.75,"1.83,3.25"
3.3,"2.2,2.75"
1.65,"1.65,3.4"
1.72,"1.72,3.4"
1.66,"1.66,3.5"
2.4,"2.4,2.6"
4.2,"1.72,3.4"
1.9,"1.9,3.4"
3.8,"1.8,3.4"
1.9,"1.9,3.25"
1.66,"1.66,3.4"
2.2,"2.2,2.8"
3.5,"1.9,3.25"
3.4,"1.66,3.4"
1.83,"1.83,3.25"
3.75,"1.44,3.75"
2.2,"2.2,2.8"
2.37,"2.37,2.62"
3,"2.1,3"
2.2,"2.2,2.8"
1.9,"1.9,3.25"
4.2,"1.72,3.4"
3.25,"1.9,3.25"
2.4,"2.4,2.5"
1.57,"1.57,3.5"
1.57,"1.57,3.5"
3.75,"1.44,3.75"
2.5,"2.4,2.5"
2.5,"2.5,2.5"
2.1,"2.1,3"
3.6,"1.83,3.25"
3.5,"1.66,3.5"
3.4,"2.4,2.5"
2.6,"2.4,2.6"
2.8,"2.25,2.8"
3.4,"1.72,3.4"
1.9,"1.9,3.25"
3.3,"2,3.25"
1.9,"1.9,3.4"
3.25,"1.8,3.25"
1.9,"1.9,3.4"
4,"1.8,3.25"
3,"2.25,3"
1.9,"1.9,3.4"
1.57,"1.57,3.6"
3.5,"1.72,3.5"
2.6,"2.4,2.6"
2.75,"2.25,2.75"
1.72,"1.72,3.5"
3.75,"1.83,3.25"
2.75,"2.25,2.75"
1.57,"1.57,3.4"
1.72,"1.72,3.25"
3,"2.1,3"
1.9,"1.9,3.25"
3.25,"2.25,2.75"
2.4,"2.4,2.6"
3.2,"2.4,2.6"
3,"2.1,3"
2.3,"2.3,2.7"
1.61,"1.61,3.4"
1.83,"1.83,3.25"
3.2,"2.37,2.62"
1.66,"1.66,3.4"
2.37,"2.37,2.62"
2.25,"2.25,2.75"
3.2,"2.5,2.5"
1.72,"1.72,3.4"
3.5,"1.53,3.5"
1.9,"1.9,3.25"
6.5,"1.44,3.75"
2.7,"2.3,2.7"
2.37,"2.37,2.62"
2.2,"2.2,2.87"
2.5,"2.5,2.5"
1.66,"1.66,3.5"
3.25,"2.2,2.8"
2.75,"2.25,2.75"
2.25,"2.25,2.75"
2.25,"2.25,2.75"
2.5,"2.5,2.5"
3.25,"2,3.25"
3.5,"1.66,3.5"
6,"1.57,3.6"
1.9,"1.9,3.25"
3.5,"1.5,3.5"
2.2,"2.2,2.8"
2.25,"2.25,2.8"
3.25,"2.2,2.8"
6.5,"1.44,3.75"
1.83,"1.83,3.25"
3.2,"2.37,2.7"
2.3,"2.3,2.75"
2.3,"2.3,2.7"
4.5,"1.72,3.25"
1.7,"1.7,3.3"
2.7,"2.37,2.7"
2.25,"2.25,2.7"
3.2,"2.37,2.62"
1.9,"1.9,3.3"
3.3,"2,3.1"
3,"2,3"
2.6,"2.45,2.6"
3.4,"1.66,3.4"
2.05,"2.05,3.1"
3,"2.1,3"
3.3,"1.72,3.3"
2.3,"2.3,2.7"
1.95,"1.95,3.25"
1.7,"1.7,3.4"
2.8,"2.25,2.8"
2.6,"2.4,2.6"
4.33,"1.7,3.4"
1.53,"1.53,3.5"
1.61,"1.61,3.4"
3.25,"1.8,3.25"
1.72,"1.72,3.3"
2.3,"2.3,2.6"
3.3,"1.9,3.3"
2.1,"2.1,3"
3.4,"2.4,2.5"
3.25,"2.2,2.8"
3.25,"1.83,3.25"
1.72,"1.72,3.25"
1.83,"1.83,3.25"
2.5,"2.5,2.5"
2.8,"2.2,2.8"
2,"2,3.25"
3.25,"2.2,2.87"
2.1,"2.1,3"
3,"2.1,3"
1.57,"1.57,3.4"
3,"2,3"
3.4,"2,3.1"
2.7,"2.2,2.7"
1.44,"1.44,3.75"
4,"1.8,3.25"
2.1,"2.1,3.1"
2.37,"2.37,2.6"
1.72,"1.72,3.5"
3.1,"2.1,3.1"
3.2,"2.15,3"
3.5,"1.66,3.5"
2.3,"2.3,2.7"
2.37,"2.37,2.62"
4,"1.36,4"
1.61,"1.61,3.4"
5.5,"1.53,3.5"
1.9,"1.9,3.25"
3.25,"2.25,2.75"
1.83,"1.83,3.25"
2.62,"2.37,2.62"
2.37,"2.37,2.62"
1.61,"1.61,3.4"
2.55,"2.4,2.55"
1.83,"1.83,3.4"
2.5,"2.5,2.5"
1.72,"1.72,3.4"
6,"1.5,3.5"
3.2,"2.1,3.1"
3.25,"2,3.25"
3.5,"1.9,3.25"
1.8,"1.8,3.4"
3.2,"1.95,3.2"
2.15,"2.15,2.75"
1.95,"1.95,3.2"
3.4,"2.05,2.9"
5.25,"1.5,3.8"
4.2,"1.66,3.5"
1.65,"1.65,3.5"
2.9,"2.1,2.9"
1.45,"1.45,3.75"
2.4,"2.4,2.5"
2.1,"2.1,3"
3.5,"1.72,3.5"
3.75,"1.44,3.75"
2.1,"2.1,3"
3.25,"2,3.25"
2.87,"2.1,2.87"
2.1,"2.1,3"
3.4,"1.9,3.4"
3.75,"1.44,3.75"
2.1,"2.1,3"
1.8,"1.8,3.25"
1.8,"1.8,3.25"
2.62,"2.37,2.62"
3.2,"2.5,2.5"
3.25,"2,3.25"
3.25,"2.25,2.75"
3.25,"1.9,3.25"
3.25,"2.1,3"
2.25,"2.25,2.75"
3.25,"2.25,2.75"
3.2,"2.37,2.62"
2.1,"2.1,3"
5,"1.57,3.5"
1.9,"1.9,3.25"
3.4,"1.72,3.4"
3.25,"2,3.25"
3.2,"2.4,2.6"
1.9,"1.9,3.25"
3,"2.1,3"
3.25,"2,3.25"
2.5,"2.5,2.5"
2.3,"2.3,2.7"
3.2,"2.3,2.7"
1.66,"1.66,3.4"
3.2,"2.37,2.62"
2.5,"2.5,2.5"
3.75,"1.83,3.25"
1.66,"1.66,3.4"
2.4,"2.4,2.6"
2.3,"2.3,2.62"
2.6,"2.4,2.6"
2.75,"2.25,2.75"
2.2,"2.2,2.8"
4.2,"1.72,3.4"
1.6,"1.6,3.5"
3.25,"1.83,3.25"
2.37,"2.37,2.62"
1.8,"1.8,3.4"
4.2,"1.72,3.4"
2.4,"2.4,2.5"
3.2,"2.15,3"
1.8,"1.8,3.3"
1.7,"1.7,3.5"
1.83,"1.83,3.4"
3.75,"1.83,3.25"
2.75,"2.2,2.75"
2.8,"2.2,2.8"
1.44,"1.44,3.75"
1.57,"1.57,3.6"
3.4,"1.72,3.4"
2.1,"2.1,3"
2.8,"2.2,2.8"
4.2,"1.72,3.4"
2.5,"2.37,2.5"
2.75,"2.25,2.75"
3.25,"2.25,2.75"
3.4,"2.3,2.6"
2,"2,3.25"
1.72,"1.72,3.5"
2.5,"2.5,2.5"
2.5,"2.3,2.5"
2.5,"2.5,2.5"
3.4,"2.37,2.5"
2.1,"2.1,3"
3.25,"2,3.25"
1.57,"1.57,3.6"
1.5,"1.5,3.75"
2.87,"2.1,2.87"
3.5,"1.72,3.5"
1.61,"1.61,3.75"
2.62,"2.2,2.62"
1.66,"1.66,3.4"
1.72,"1.72,3.5"
1.66,"1.66,3.5"
4.33,"1.66,3.5"
2.25,"2.25,2.75"
2.1,"2.1,3"
3,"2.1,3"
1.61,"1.61,3.6"
3.25,"2.1,3"
1.72,"1.72,3.3"
3.6,"1.83,3.4"
3.25,"2.1,3"
1.7,"1.7,3.4"
3.25,"2.2,2.8"
2,"2,3.25"
1.7,"1.7,3.4"
1.53,"1.53,3.5"
2.75,"2.25,2.75"
2.1,"2.1,3"
1.5,"1.5,3.75"
3.4,"2,3.1"
2.37,"2.37,2.62"
2.25,"2.25,2.75"
1.61,"1.61,3.5"
2.2,"2.2,2.87"
2.37,"2.37,2.6"
3.2,"2.4,2.6"
2.25,"2.25,2.75"
3.5,"2.25,2.62"
1.73,"1.73,3.5"
1.8,"1.8,3.5"
1.95,"1.95,3.25"
3.25,"1.95,3.1"
3.5,"1.66,3.5"
7.5,"1.4,3.75"
1.8,"1.8,3.2"
3.25,"2,3.25"
2.1,"2.1,3"
1.36,"1.36,4"
2.1,"2.1,2.75"
1.66,"1.66,3.4"
2.5,"2.37,2.5"
3.6,"1.83,3.4"
1.9,"1.9,3.25"
1.9,"1.9,3.25"
2.4,"2.4,2.6"
3.1,"2,3.1"
3.25,"2.2,2.8"
1.83,"1.83,3.25"
2.3,"2.3,2.7"
3.2,"2.37,2.62"
3.5,"1.9,3.25"
1.57,"1.57,3.6"
2.2,"2.2,2.8"
3.3,"2.3,2.62"
3.75,"1.83,3.25"
3.4,"1.8,3.4"
2.25,"2.25,2.8"
1.66,"1.66,3.5"
2,"2,3.1"
3.4,"1.8,3.4"
3.25,"2,3.25"
1.55,"1.55,3.6"
2.37,"2.37,2.7"
2.3,"2.3,2.7"
1.53,"1.53,3.75"
2.7,"2.3,2.7"
3.2,"2.05,3.2"
2.8,"2.37,2.8"
1.8,"1.8,3.4"
1.9,"1.9,3.25"
